,Date,Price,Open,High,Low,Volume,Chg%
672,"Jul 07, 2020",109.05,109.8,112.6,108.05,85.84M,0.05%
673,"Jul 06, 2020",109.0,105.0,109.9,104.5,91.97M,5.36%
674,"Jul 03, 2020",103.45,102.85,106.35,102.1,87.31M,1.87%
675,"Jul 02, 2020",101.55,100.75,102.95,100.4,48.09M,0.79%
676,"Jul 01, 2020",100.75,99.0,101.45,98.2,50.87M,2.54%
677,"Jun 30, 2020",98.25,101.75,102.3,97.3,50.77M,-1.21%
678,"Jun 29, 2020",99.45,101.4,101.4,98.05,43.28M,-1.92%
679,"Jun 26, 2020",101.4,105.4,106.05,100.35,56.33M,-2.31%
680,"Jun 25, 2020",103.8,103.85,106.3,101.65,63.20M,-0.95%
681,"Jun 24, 2020",104.8,105.25,110.8,104.2,125.46M,0.38%
682,"Jun 23, 2020",104.4,103.0,106.0,101.9,68.64M,1.70%
683,"Jun 22, 2020",102.65,102.35,104.9,101.0,68.55M,0.15%
684,"Jun 19, 2020",102.5,96.5,103.9,95.6,135.46M,6.38%
685,"Jun 18, 2020",96.35,95.0,97.2,94.15,58.96M,1.00%
686,"Jun 17, 2020",95.4,93.0,96.4,91.8,110.83M,0.69%
687,"Jun 16, 2020",94.75,102.0,103.5,92.0,215.48M,-5.72%
688,"Jun 15, 2020",100.5,104.65,104.65,100.05,69.32M,-4.56%
689,"Jun 12, 2020",105.3,98.0,106.25,98.0,93.00M,-0.80%
690,"Jun 11, 2020",106.15,109.9,111.15,105.0,55.49M,-4.71%
691,"Jun 10, 2020",111.4,111.0,113.0,108.5,84.04M,-0.04%
692,"Jun 09, 2020",111.45,117.45,117.9,110.25,79.47M,-3.46%
693,"Jun 08, 2020",115.45,114.0,119.15,113.35,136.95M,4.24%
694,"Jun 05, 2020",110.75,100.45,112.45,99.05,187.21M,12.44%
695,"Jun 04, 2020",98.5,99.0,101.4,96.8,72.08M,-0.25%
696,"Jun 03, 2020",98.75,100.0,101.45,97.4,90.60M,2.33%
697,"Jun 02, 2020",96.5,90.0,97.3,89.75,125.41M,7.76%
698,"Jun 01, 2020",89.55,88.9,91.2,88.0,71.08M,2.93%
699,"May 29, 2020",87.0,85.55,87.5,84.65,80.82M,0.00%
700,"May 28, 2020",87.0,86.0,88.15,84.55,96.18M,2.90%
