Date,Symbol,Price,Chg%,High,Low,Open,Volume
2017-07-19,tcs,1200.86,0.0171,1205.96,1183.95,1184.14,3920000
2017-07-20,tcs,1198.46,-0.002,1204.44,1191.5,1200.69,1180000
2017-07-21,tcs,1221.25,0.019,1225.57,1193.48,1193.65,2150000
2017-07-24,tcs,1240.62,0.0159,1245.18,1216.74,1216.74,2270000
2017-07-25,tcs,1260.62,0.0161,1264.78,1234.59,1238.19,2680000
2017-07-26,tcs,1253.02,-0.006,1262.33,1248.61,1254.98,1460000
2017-07-27,tcs,1216.6,-0.0291,1267.14,1209.14,1246.25,4260000
2017-07-28,tcs,1217.87,0.001,1222.16,1197.13,1216.25,1380000
2017-07-31,tcs,1221.55,0.003,1234.88,1207.43,1211.35,2020000
2017-08-01,tcs,1226.38,0.004,1235.74,1221.15,1225.57,1750000
2017-08-02,tcs,1212.72,-0.0111,1229.49,1206.94,1225.57,1250000
2017-08-03,tcs,1220.39,0.0063,1226.55,1209.12,1215.76,1880000
2017-08-04,tcs,1236.74,0.0134,1239.44,1219.68,1221.06,1390000
2017-08-07,tcs,1227.26,-0.0077,1235.37,1216.35,1233.65,1890000
2017-08-08,tcs,1227.06,-0.0002,1239.59,1223.75,1231.45,1070000
2017-08-09,tcs,1231.45,0.0036,1236.77,1222.28,1225.57,992950
2017-08-10,tcs,1231.18,-0.0002,1235.66,1218.87,1229.98,1530000
2017-08-11,tcs,1223.63,-0.0060999999999999,1242.72,1217.23,1225.52,1390000
2017-08-14,tcs,1210.57,-0.0107,1230.42,1207.43,1227.04,786500
2017-08-16,tcs,1221.82,0.0093,1247.04,1208.51,1217.72,1370000
2017-08-17,tcs,1218.53,-0.0027,1228.02,1206.99,1225.91,1750000
2017-08-18,tcs,1232.33,0.0113,1250.03,1211.55,1212.82,2840000
2017-08-21,tcs,1239.68,0.006,1249.59,1222.77,1228.26,2300000
2017-08-22,tcs,1224.37,-0.0124,1244.93,1221.64,1236.84,1130000
2017-08-23,tcs,1220.39,-0.0033,1233.8,1212.4,1228.02,1560000
2017-08-24,tcs,1223.9,0.0029,1234.37,1218.78,1224.44,1620000
2017-08-28,tcs,1219.34,-0.0037,1228.21,1206.45,1227.82,2040000
2017-08-29,tcs,1211.28,-0.0066,1223.61,1207.89,1216.74,1310000
2017-08-30,tcs,1217.99,0.0055,1220.66,1206.01,1216.25,970780
2017-08-31,tcs,1223.78,0.0048,1227.72,1209.22,1218.21,1780000
2017-09-01,tcs,1204.22,-0.016,1224.61,1194.46,1215.76,1700000
2017-09-04,tcs,1204.09,-0.0001,1206.45,1195.17,1202.57,1060000
2017-09-05,tcs,1217.89,0.0115,1220.66,1194.71,1205.96,1170000
2017-09-06,tcs,1202.62,-0.0125,1213.24,1201.05,1209.95,1230000
2017-09-07,tcs,1206.01,0.0028,1210.08,1201.57,1204.98,870640
2017-09-08,tcs,1211.15,0.0043,1212.82,1202.31,1202.89,1020000
2017-09-11,tcs,1203.24,-0.0065,1217.21,1201.05,1211.45,732760
2017-09-12,tcs,1219.9,0.0138,1224.1,1204.49,1212.77,1400000
2017-09-13,tcs,1220.27,0.0003,1241.08,1213.41,1225.57,1280000
2017-09-14,tcs,1219.17,-0.0009,1224.39,1211.79,1216.74,1080000
2017-09-15,tcs,1228.53,0.0077,1233.9,1218.21,1225.08,2940000
2017-09-18,tcs,1225.1,-0.0028,1234.86,1220.3,1227.99,726600
2017-09-19,tcs,1224.71,-0.0003,1228.02,1221.4,1228.02,782750
2017-09-20,tcs,1222.4,-0.0019,1232.43,1212.97,1232.43,1330000
2017-09-21,tcs,1237.77,0.0126,1245.67,1215.76,1221.18,2440000
2017-09-22,tcs,1227.33,-0.0084,1238.75,1221.64,1235.32,2440000
2017-09-25,tcs,1230.84,0.0029,1242.23,1222.01,1223.87,1600000
2017-09-26,tcs,1213.14,-0.0144,1238.51,1208.9,1230.47,1450000
2017-09-27,tcs,1223.12,0.0081999999999999,1231.55,1212.7,1220.66,2009999
2017-09-28,tcs,1214.02,-0.0074,1232.43,1202.04,1222.97,4330000
2017-09-29,tcs,1194.17,-0.0163999999999999,1217.72,1187.08,1215.27,1990000
2017-10-03,tcs,1200.3,0.0051,1203.16,1189.8,1196.15,1920000
2017-10-04,tcs,1197.28,-0.0025,1203.02,1188.8,1200.86,1300000
2017-10-05,tcs,1191.05,-0.0052,1197.84,1188.51,1196.64,1680000
2017-10-06,tcs,1199.41,0.0069999999999999,1203.51,1190.29,1191.25,1390000
2017-10-09,tcs,1203.06,0.003,1209.85,1196.67,1196.67,1770000
2017-10-10,tcs,1205.59,0.0021,1210.83,1201.67,1203.51,1220000
2017-10-11,tcs,1225.74,0.0167,1232.65,1204.36,1205.96,1530000
2017-10-12,tcs,1249.2,0.0191,1252.53,1229.0,1231.94,5010000
2017-10-13,tcs,1254.29,0.0040999999999999,1278.98,1236.84,1249.2,4070000
2017-10-16,tcs,1266.94,0.0101,1269.69,1252.55,1252.55,1220000
2017-10-17,tcs,1271.92,0.0039,1281.92,1263.58,1267.24,1440000
2017-10-18,tcs,1268.02,-0.0031,1281.28,1264.78,1272.14,1510000
2017-10-19,tcs,1266.7,-0.001,1272.53,1260.37,1270.67,86820
