Date,High,Chg%,Price,Symbol,Open,Volume,Low
2020-04-13,186.65,-0.0197,181.6,itc,184.5,17740000,181.05
2020-04-15,193.75,0.0426999999999999,189.35,itc,184.05,49090000,182.7
2020-04-16,191.2,-0.0158,186.35,itc,189.65,27080000,185.45
2020-04-17,191.4,0.0093999999999999,188.1,itc,190.45,26670000,186.95
2020-04-20,189.95,-0.0393,180.7,itc,189.95,35770000,179.5
2020-04-21,184.3,-0.0060999999999999,179.6,itc,178.0,23330000,176.05
2020-04-22,183.55,0.0148,182.25,itc,179.0,25160000,176.0
2020-04-23,184.0,-0.0093,180.55,itc,182.95,32970000,179.65
2020-04-24,182.8,-0.0028,180.05,itc,181.0,18050000,179.3
2020-04-27,182.3,-0.0011,179.85,itc,180.25,13090000,179.3
2020-04-28,180.8,-0.0022,179.45,itc,180.0,17800000,178.05
2020-04-29,182.9,0.015,182.15,itc,180.5,21460000,179.65
2020-04-30,184.9,-0.0005,182.05,itc,184.9,30170000,180.45
2020-05-04,181.75,-0.0438999999999999,174.05,itc,181.75,30300000,170.65
2020-05-05,177.45,-0.0009,173.9,itc,175.0,17710000,172.0
2020-05-06,171.4,-0.0575,163.9,itc,171.4,65590000,160.5
2020-05-07,165.85,-0.0177,161.0,itc,164.0,24250000,160.5
2020-05-08,164.15,-0.0171,158.25,itc,163.95,25310000,157.1
2020-05-11,163.5,0.0013,158.45,itc,160.0,18100000,158.0
2020-05-12,165.9,0.0417,165.05,itc,158.45,21390000,157.5
2020-05-13,173.6,0.0021,165.4,itc,173.4,20020000,164.5
2020-05-14,168.25,-0.0097,163.8,itc,164.5,14950000,161.95
2020-05-15,165.5,0.0052,164.65,itc,162.2,14950000,161.15
2020-05-18,167.3,0.0006,164.75,itc,166.0,20800000,163.15
2020-05-19,171.65,0.0364,170.75,itc,166.5,20140000,165.1
2020-05-20,177.0,0.0293,175.75,itc,171.95,25320000,171.0
2020-05-21,190.45,0.0751,188.95,itc,175.6,58380000,172.65
2020-05-22,191.9,-0.0138,186.35,itc,188.0,39010000,184.6
2020-05-26,194.95,0.0287,191.7,itc,190.0,53240000,187.8
2020-05-27,193.9,0.0023,192.15,itc,192.5,24550000,186.9
2020-05-28,192.9,-0.0078,190.65,itc,192.3,24580000,189.0
2020-05-29,198.0,0.0351,197.35,itc,190.45,35840000,189.0
2020-06-01,205.25,0.0162,200.55,itc,201.0,28510000,199.0
2020-06-02,201.9,-0.0165,197.25,itc,201.9,22630000,196.7
2020-06-03,200.9,-0.0028,196.7,itc,200.0,18980000,195.6
2020-06-04,202.5,0.0175,200.15,itc,197.75,22000000,195.0
2020-06-05,202.0,-0.0007,200.0,itc,201.8,14630000,198.65
2020-06-08,203.65,-0.0118,197.65,itc,202.9,19560000,197.0
2020-06-09,206.2,0.0043,198.5,itc,198.25,39910000,197.65
2020-06-10,203.15,0.0028,199.05,itc,199.45,27200000,198.3
2020-06-11,201.25,-0.0241,194.25,itc,200.0,19850000,193.6
2020-06-12,195.2,-0.0018,193.9,itc,188.95,22560000,187.85
2020-06-15,193.95,-0.0346,187.2,itc,193.9,24460000,186.3
2020-06-16,190.95,-0.0118,185.0,itc,190.8,27640000,181.9
2020-06-17,185.0,-0.0204999999999999,181.2,itc,184.0,24030000,180.7
2020-06-18,187.5,0.0298,186.6,itc,181.2,28890000,180.7
2020-06-19,187.95,-0.0137,184.05,itc,187.1,30530000,183.6
2020-06-22,187.5,0.0052,185.0,itc,186.5,31400000,183.15
2020-06-23,187.5,0.0046,185.85,itc,185.4,26550000,184.75
2020-06-24,194.7,0.0323,191.85,itc,187.4,54650000,186.15
2020-06-25,203.5,0.0533999999999999,202.1,itc,192.25,75580000,191.65
2020-06-26,209.4,-0.0341,195.2,itc,206.0,71960000,193.3
2020-06-29,203.0,0.0105,197.25,itc,202.5,91500000,196.2
2020-06-30,199.4,-0.0132,194.65,itc,199.4,41220000,194.0
2020-07-01,203.85,0.0424,202.9,itc,194.65,44300000,194.65
2020-07-02,206.75,0.0144999999999999,205.85,itc,204.45,39320000,202.55
2020-07-03,208.5,0.0083,207.55,itc,208.0,37900000,206.0
2020-07-06,201.95,-0.0373,199.8,itc,200.35,34710000,198.95
2020-07-07,200.5,-0.0278,194.25,itc,200.0,31280000,194.0
2020-07-08,197.95,0.0106,196.3,itc,194.25,21280000,194.25
2020-07-09,197.0,-0.0043,195.45,itc,196.9,18770000,194.15
2020-07-10,196.5,-0.0056,194.35,itc,195.15,16190000,194.0
2020-07-13,198.75,0.0165,197.55,itc,195.9,20300000,195.1
2020-07-14,199.5,-0.0084,195.9,itc,197.4,18480000,192.75
2020-07-15,200.0,0.0143,198.7,itc,196.35,23780000,194.5
2020-07-16,198.85,-0.0243999999999999,193.85,itc,198.7,22140000,192.0
2020-07-17,195.4,0.001,194.05,itc,193.3,14880000,193.0
2020-07-20,195.35,-0.0069999999999999,192.7,itc,195.0,18920000,192.35
2020-07-21,194.2,-0.0023,192.25,itc,192.1,28010000,191.5
2020-07-22,197.9,0.0224,196.55,itc,193.0,32570000,192.5
2020-07-23,201.5,0.0210999999999999,200.7,itc,197.65,31490000,196.8
2020-07-24,201.7,-0.0055,199.6,itc,201.0,60190000,197.3
2020-07-27,200.5,-0.016,196.4,itc,200.5,22650000,195.15
2020-07-28,198.65,-0.0051,195.4,itc,197.0,19290000,195.05
2020-07-29,198.2,0.0067,196.7,itc,193.45,14830000,193.4
2020-07-30,198.4,-0.017,193.35,itc,198.4,16320000,192.5
2020-07-31,196.95,0.0040999999999999,194.15,itc,193.5,16649999,193.5
2020-08-03,194.0,-0.008,192.6,itc,194.0,13270000,191.9
2020-08-04,195.8,0.0055,193.65,itc,192.6,17190000,192.6
2020-08-05,194.6,-0.0044,192.8,itc,194.5,48770000,191.7
2020-08-06,195.6,0.0132,195.35,itc,194.2,17890000,193.1
2020-08-07,197.0,0.0036,196.05,itc,195.5,20910000,194.15
2020-08-10,199.65,0.0143,198.85,itc,196.4,16469999,196.4
2020-08-11,207.7,0.0210999999999999,203.05,itc,200.0,55140000,200.0
2020-08-12,204.9,0.0056999999999999,204.2,itc,202.5,21290000,200.4
2020-08-13,204.2,-0.0135,201.45,itc,203.5,22700000,197.1
2020-08-14,203.35,-0.0250999999999999,196.4,itc,201.6,28750000,195.5
2020-08-17,199.5,0.012,198.75,itc,198.05,11740000,196.85
2020-08-18,199.9,-0.001,198.55,itc,199.9,12490000,197.25
2020-08-19,201.7,-0.0005,198.45,itc,198.6,15470000,198.1
2020-08-20,197.2,-0.0134,195.8,itc,197.0,16910000,194.55
2020-08-21,199.2,0.0051,196.8,itc,198.0,17230000,196.3
2020-08-24,199.0,-0.0005,196.7,itc,197.25,14740000,196.35
2020-08-25,198.3,-0.0066,195.4,itc,197.25,15200000,195.1
2020-08-26,196.55,-0.0023,194.95,itc,196.5,22630000,193.65
2020-08-27,198.9,-0.0036,194.25,itc,198.5,47210000,193.9
2020-08-28,196.3,0.0067,195.55,itc,194.6,34650000,194.05
2020-08-31,199.0,-0.0227999999999999,191.1,itc,199.0,97000000,190.0
2020-09-01,192.35,-0.0046999999999999,190.2,itc,191.1,39780000,188.25
2020-09-02,193.0,0.006,191.35,itc,191.3,20590000,189.65
2020-09-03,193.25,0.0013,191.6,itc,191.4,15690000,190.0
2020-09-04,190.0,-0.0256,186.7,itc,190.0,41390000,185.7
2020-09-07,190.5,0.0129,189.1,itc,187.25,32659999,180.8
2020-09-08,190.55,-0.005,188.15,itc,189.6,25590000,184.6
2020-09-09,186.25,-0.0231,183.8,itc,185.5,27830000,182.3
2020-09-10,185.7,0.006,184.9,itc,184.1,17790000,183.2
2020-09-11,186.5,-0.0051,183.95,itc,184.9,19260000,182.75
2020-09-14,185.85,-0.0033,183.35,itc,185.8,30990000,183.0
2020-09-15,184.2,-0.0085,181.8,itc,184.0,30770000,180.8
2020-09-16,183.5,-0.0063,180.65,itc,181.85,50650000,180.05
2020-09-17,181.5,-0.0113,178.6,itc,180.8,33940000,177.8
2020-09-18,179.85,0.0028,179.1,itc,179.55,29780000,177.0
2020-09-21,180.6,-0.0187,175.75,itc,180.0,23890000,175.05
2020-09-22,176.75,-0.0088,174.2,itc,175.75,18530000,173.75
2020-09-23,177.55,-0.0098,172.5,itc,174.95,61790000,171.7
2020-09-24,171.75,-0.0345,166.55,itc,171.7,31490000,166.15
2020-09-25,171.2,0.0252,170.75,itc,168.9,26630000,167.0
2020-09-28,174.8,0.0149,173.3,itc,171.0,23190000,170.5
2020-09-29,174.75,-0.0225,169.4,itc,174.75,25620000,169.0
2020-09-30,172.1,0.0136,171.7,itc,170.0,18480000,168.7
2020-10-01,174.6,-0.005,170.85,itc,174.5,19760000,170.1
2020-10-05,172.8,-0.0093999999999999,169.25,itc,171.1,24300000,168.75
2020-10-06,171.6,0.0038,169.9,itc,169.5,21890000,168.1
2020-10-07,170.9,-0.0024,169.5,itc,170.0,16290000,169.0
2020-10-08,170.4,-0.0139,167.15,itc,170.1,25500000,166.9
2020-10-09,168.9,0.0042,167.85,itc,167.5,22370000,166.35
2020-10-12,175.2,0.0259,172.2,itc,170.5,66250000,170.0
2020-10-13,174.85,-0.0118999999999999,170.15,itc,172.85,35690000,169.5
2020-10-14,171.0,-0.0138,167.8,itc,170.55,38220000,167.05
2020-10-15,167.8,-0.0163999999999999,165.05,itc,167.7,27120000,164.55
2020-10-16,166.8,0.0039,165.7,itc,165.5,20230000,163.8
2020-10-19,168.9,0.0154,168.25,itc,166.8,19020000,166.15
2020-10-20,168.3,-0.0048,167.45,itc,168.0,16149999,166.7
2020-10-21,168.9,0.0012,167.65,itc,168.15,16480000,166.6
2020-10-22,169.1,0.0054,168.55,itc,167.55,22040000,167.0
2020-10-23,171.0,0.0131,170.75,itc,168.95,20150000,167.75
2020-10-26,171.6,-0.0129,168.55,itc,171.5,16079999,168.25
2020-10-27,169.3,-0.008,167.2,itc,168.5,45890000,166.75
2020-10-28,168.5,-0.0102,165.5,itc,168.5,16820000,165.0
2020-10-29,165.95,-0.01,163.85,itc,165.0,21010000,163.45
2020-10-30,166.8,0.0085,165.25,itc,164.0,16350000,163.35
2020-11-02,167.2,0.0091,166.75,itc,166.8,14370000,164.45
2020-11-03,170.75,0.0200999999999999,170.1,itc,167.2,22600000,167.1
2020-11-04,171.8,-0.0018,169.8,itc,170.05,18810000,168.2
2020-11-05,175.0,0.0292,174.75,itc,171.25,27000000,170.2
2020-11-06,177.2,-0.0046,173.95,itc,176.5,34250000,173.4
2020-11-09,177.3,-0.0066,172.8,itc,173.95,35290000,171.85
2020-11-10,179.55,0.0321,178.35,itc,175.0,57460000,171.85
2020-11-11,185.9,0.039,185.3,itc,179.6,63320000,178.6
2020-11-12,188.75,0.0146,188.0,itc,185.2,46370000,183.85
2020-11-13,188.8,-0.0048,187.1,itc,187.2,28200000,185.55
2020-11-14,190.0,0.008,188.6,itc,189.05,7770000,188.05
2020-11-17,189.4,-0.0066,187.35,itc,189.0,20950000,186.4
2020-11-18,188.45,-0.0176,184.05,itc,186.8,26600000,182.75
2020-11-19,191.8,0.0209,187.9,itc,182.8,48980000,182.7
2020-11-20,192.0,0.0202,191.7,itc,188.8,45310000,186.05
2020-11-23,192.5,-0.0044,190.85,itc,192.0,23180000,188.65
2020-11-24,196.45,0.0246,195.55,itc,190.6,45410000,190.6
2020-11-25,197.95,-0.0087,193.85,itc,196.0,41660000,192.5
2020-11-26,195.85,0.0049,194.8,itc,195.1,24220000,192.55
2020-11-27,195.75,-0.0059,193.65,itc,194.45,31390000,193.2
2020-12-01,196.35,0.0039,194.4,itc,195.0,15890000,192.4
2020-12-02,198.75,0.008,195.95,itc,195.0,28430000,193.55
2020-12-03,197.2,0.0013,196.2,itc,197.2,28010000,194.55
2020-12-04,199.35,0.0102,198.2,itc,196.85,22150000,196.5
2020-12-07,203.75,0.025,203.15,itc,198.2,35690000,197.6
2020-12-08,204.7,-0.0034,202.45,itc,203.9,30850000,199.55
2020-12-09,207.8,0.0146,205.4,itc,205.0,39680000,204.65
2020-12-10,213.65,0.0355,212.7,itc,206.65,65230000,203.15
2020-12-11,217.95,0.0169,216.3,itc,214.45,60320000,213.35
2020-12-14,218.6,-0.0018,215.9,itc,217.95,26990000,215.0
2020-12-15,216.4,-0.0109,213.55,itc,215.25,23260000,211.6
2020-12-16,215.55,0.0021,214.0,itc,213.75,19550000,213.5
2020-12-17,215.1,-0.0044,213.05,itc,214.2,22390000,211.25
2020-12-18,215.95,0.0068,214.5,itc,213.1,23780000,209.75
2020-12-21,214.7,-0.0538,202.95,itc,214.5,41830000,199.15
2020-12-22,206.25,0.0022,203.4,itc,203.1,40990000,196.9
2020-12-23,208.25,0.0214,207.75,itc,203.0,23700000,202.0
2020-12-24,210.65,0.0040999999999999,208.6,itc,210.0,22770000,205.6
2020-12-28,210.2,0.0043,209.5,itc,209.0,15740000,207.85
2020-12-29,213.5,0.0098,211.55,itc,210.5,26550000,210.1
2020-12-30,213.5,-0.0019,211.15,itc,212.7,18930000,209.55
2020-12-31,211.3,-0.0102,209.0,itc,210.55,18250000,208.55
2021-01-01,214.2,0.0232,213.85,itc,209.9,19530000,209.3
2021-01-04,216.0,-0.0021,213.4,itc,214.0,26890000,212.1
2021-01-05,213.25,-0.0091,211.45,itc,212.45,18020000,210.6
