Date,Low,High,Open,Volume,Symbol,Price,Chg%
2018-06-11,2950.5,2982.12,2963.5,138470,britannia,2955.22,-0.0012
2018-06-12,2930.28,2977.5,2955.22,90800,britannia,2973.3,0.0060999999999999
2018-06-13,2967.55,3040.0,2967.55,198280,britannia,3008.57,0.0118999999999999
2018-06-14,2985.5,3023.5,3023.5,153540,britannia,3000.88,-0.0026
2018-06-15,2997.65,3089.72,3007.5,358540,britannia,3068.3,0.0225
2018-06-18,3029.95,3066.85,3066.85,234720,britannia,3037.0,-0.0102
2018-06-19,2961.03,3041.47,3030.0,190780,britannia,2988.28,-0.016
2018-06-20,2985.0,3027.75,2999.2,259290,britannia,2997.78,0.0032
2018-06-21,2975.0,3014.97,3000.0,151970,britannia,2981.35,-0.0055
2018-06-22,2947.53,2999.0,2984.45,184020,britannia,2979.72,-0.0005
2018-06-25,2980.0,3024.95,2987.0,129690,britannia,2988.7,0.003
2018-06-26,2981.5,3040.9,3003.0,225120,britannia,3025.05,0.0121999999999999
2018-06-27,3024.0,3064.5,3043.0,273890,britannia,3043.8,0.0062
2018-06-28,3027.78,3074.0,3062.0,256269,britannia,3064.78,0.0069
2018-06-29,3056.15,3128.97,3075.0,315220,britannia,3106.88,0.0137
2018-07-02,3085.07,3133.97,3113.5,160600,britannia,3116.47,0.0031
2018-07-03,3093.03,3129.8,3129.8,187680,britannia,3108.28,-0.0026
2018-07-04,3105.03,3159.55,3105.03,197910,britannia,3149.88,0.0134
2018-07-05,3147.1,3184.5,3174.5,144030,britannia,3153.65,0.0012
2018-07-06,3140.5,3179.75,3145.0,234680,britannia,3154.95,0.0004
2018-07-09,3150.0,3203.57,3155.5,123170,britannia,3191.43,0.0116
2018-07-10,3185.12,3212.53,3205.0,183950,britannia,3194.85,0.0011
2018-07-11,3154.0,3204.47,3204.0,294280,britannia,3178.88,-0.005
2018-07-12,3161.12,3215.6,3199.97,287710,britannia,3202.82,0.0075
2018-07-13,3195.0,3250.0,3195.0,220690,britannia,3237.55,0.0108
2018-07-16,3249.97,3283.5,3250.0,172270,britannia,3266.35,0.0089
2018-07-17,3207.28,3287.1,3272.5,217350,britannia,3213.45,-0.0162
2018-07-18,3155.0,3237.53,3225.5,214520,britannia,3182.9,-0.0095
2018-07-19,3141.62,3198.2,3182.5,197250,britannia,3186.15,0.001
2018-07-20,3155.5,3217.35,3188.0,193860,britannia,3179.07,-0.0022
2018-07-23,3182.5,3236.2,3200.0,169910,britannia,3217.97,0.0121999999999999
2018-07-24,3199.0,3247.5,3232.5,158030,britannia,3233.22,0.0046999999999999
2018-07-25,3215.0,3262.0,3249.5,108570,britannia,3222.0,-0.0034999999999999
2018-07-26,3207.28,3247.28,3244.5,215950,britannia,3225.15,0.001
2018-07-27,3185.0,3250.0,3222.0,139910,britannia,3192.6,-0.0101
