,Date,Price,Open,High,Low,Volume,Chg%
1249,"Mar 05, 2018",260.25,263.3,263.3,260.0,6.62M,-1.42%
1250,"Mar 01, 2018",264.0,264.2,266.1,262.85,7.78M,-0.40%
1251,"Feb 28, 2018",265.05,265.0,266.3,263.05,13.45M,-0.51%
1252,"Feb 27, 2018",266.4,268.0,268.2,265.5,7.43M,-0.06%
1253,"Feb 26, 2018",266.55,268.55,269.5,266.0,8.38M,-0.93%
1254,"Feb 23, 2018",269.05,267.45,270.0,266.1,6.53M,0.73%
1255,"Feb 22, 2018",267.1,267.2,269.0,265.45,19.12M,-0.41%
1256,"Feb 21, 2018",268.2,264.0,268.95,263.45,10.56M,1.88%
1257,"Feb 20, 2018",263.25,264.0,265.8,262.15,9.30M,-0.32%
1258,"Feb 19, 2018",264.1,266.0,267.8,262.5,6.07M,-0.88%
1259,"Feb 16, 2018",266.45,269.85,270.75,265.6,6.16M,-0.62%
1260,"Feb 15, 2018",268.1,266.5,269.9,264.8,11.74M,0.60%
1261,"Feb 14, 2018",266.5,270.0,271.0,265.1,11.30M,-1.24%
1262,"Feb 12, 2018",269.85,272.45,273.85,269.3,6.71M,-0.55%
1263,"Feb 09, 2018",271.35,271.0,272.5,267.8,14.20M,-1.00%
1264,"Feb 08, 2018",274.1,275.7,276.9,272.65,9.78M,-0.38%
1265,"Feb 07, 2018",275.15,278.0,278.75,274.0,12.96M,0.60%
1266,"Feb 06, 2018",273.5,269.95,277.3,268.15,15.82M,-2.06%
1267,"Feb 05, 2018",279.25,273.55,281.7,271.85,19.71M,1.42%
1268,"Feb 02, 2018",275.35,274.4,285.65,270.8,35.01M,0.02%
1269,"Feb 01, 2018",275.3,272.0,290.3,267.4,59.36M,1.44%
1270,"Jan 31, 2018",271.4,273.9,276.0,269.85,18.95M,-1.38%
1271,"Jan 30, 2018",275.2,275.0,276.45,271.95,13.06M,-0.16%
1272,"Jan 29, 2018",275.65,281.15,283.3,275.0,9.57M,-1.99%
1273,"Jan 25, 2018",281.25,281.0,283.2,278.6,13.12M,-0.07%
1274,"Jan 24, 2018",281.45,276.65,282.0,276.05,17.31M,1.75%
1275,"Jan 23, 2018",276.6,274.0,277.25,273.55,18.24M,1.08%
1276,"Jan 22, 2018",273.65,275.0,275.5,271.7,8.34M,-0.33%
1277,"Jan 19, 2018 E",274.55,276.0,277.5,271.1,25.71M,0.42%
1278,"Jan 18, 2018",273.4,268.0,275.25,266.65,26.44M,2.76%
1279,"Jan 17, 2018",266.05,262.0,267.0,259.55,16.38M,1.66%
1280,"Jan 16, 2018",261.7,268.2,268.7,260.8,12.94M,-2.20%
1281,"Jan 15, 2018",267.6,268.0,271.1,267.0,10.54M,0.02%
1282,"Jan 12, 2018",267.55,270.25,271.35,266.15,8.18M,-0.83%
1283,"Jan 11, 2018",269.8,269.5,271.0,268.1,11.29M,0.15%
1284,"Jan 10, 2018",269.4,273.45,274.0,269.05,16.44M,-0.43%
1285,"Jan 09, 2018",270.55,265.5,272.0,264.75,25.74M,1.86%
1286,"Jan 08, 2018",265.6,264.0,266.8,263.25,14.43M,1.03%
1287,"Jan 05, 2018",262.9,261.9,263.5,261.9,9.21M,0.52%
1288,"Jan 04, 2018",261.55,260.95,262.75,260.6,9.37M,0.15%
1289,"Jan 03, 2018",261.15,261.3,262.65,260.6,11.02M,0.15%
1290,"Jan 02, 2018",260.75,262.6,264.2,260.45,5.69M,-0.59%
1291,"Jan 01, 2018",262.3,263.25,266.3,261.25,10.46M,-0.36%
1292,"Dec 29, 2017",263.25,262.5,264.0,262.25,6.57M,0.53%
1293,"Dec 28, 2017",261.85,263.4,264.05,261.05,15.89M,-0.11%
1294,"Dec 27, 2017",262.15,264.2,264.3,261.65,6.09M,-0.76%
1295,"Dec 26, 2017",264.15,263.25,265.0,262.65,9.55M,0.40%
1296,"Dec 22, 2017",263.1,263.5,264.2,262.15,6.41M,0.02%
1297,"Dec 21, 2017",263.05,265.9,265.9,261.6,6.77M,-0.09%
1298,"Dec 20, 2017",263.3,264.7,264.7,262.7,7.44M,-0.36%
1299,"Dec 19, 2017",264.25,263.4,265.4,263.1,5.88M,0.40%
1300,"Dec 18, 2017",263.2,265.5,265.5,259.05,9.29M,-0.53%
1301,"Dec 15, 2017",264.6,266.0,267.05,263.45,12.27M,0.13%
1302,"Dec 14, 2017",264.25,260.9,266.15,257.55,8.04M,2.03%
1303,"Dec 13, 2017",259.0,259.6,262.4,257.6,8.65M,-0.97%
1304,"Dec 12, 2017",261.55,264.5,265.2,260.5,9.24M,-1.77%
1305,"Dec 11, 2017",266.25,264.65,267.5,263.3,17.18M,1.54%
1306,"Dec 08, 2017",262.2,253.75,263.2,253.4,13.13M,3.49%
1307,"Dec 07, 2017",253.35,250.0,254.1,250.0,5.43M,0.70%
1308,"Dec 06, 2017",251.6,253.25,253.25,250.85,8.24M,-0.89%
1309,"Dec 05, 2017",253.85,255.0,255.35,252.5,8.99M,-0.49%
1310,"Dec 04, 2017",255.1,256.0,256.3,253.55,6.11M,-0.04%
1311,"Dec 01, 2017",255.2,256.95,259.6,254.65,6.59M,-0.33%
1312,"Nov 30, 2017",256.05,257.9,258.2,254.65,22.12M,-0.78%
1313,"Nov 29, 2017",258.05,258.0,258.7,257.0,8.70M,0.41%
1314,"Nov 28, 2017",257.0,259.1,259.2,256.0,17.51M,-0.87%
1315,"Nov 27, 2017",259.25,260.0,260.5,257.3,4.84M,-0.58%
1316,"Nov 24, 2017",260.75,258.5,261.45,258.05,7.35M,1.01%
1317,"Nov 23, 2017",258.15,258.35,260.7,256.4,7.52M,0.00%
1318,"Nov 22, 2017",258.15,256.0,258.65,255.6,8.61M,0.92%
1319,"Nov 21, 2017",255.8,259.5,259.5,255.2,16.63M,-1.31%
1320,"Nov 20, 2017",259.2,258.6,260.7,257.25,7.92M,0.47%
1321,"Nov 17, 2017",258.0,256.5,259.0,256.0,10.00M,1.14%
1322,"Nov 16, 2017",255.1,254.7,255.6,252.4,9.96M,0.71%
1323,"Nov 15, 2017",253.3,257.0,257.35,250.4,17.01M,-1.27%
1324,"Nov 14, 2017",256.55,258.5,260.85,256.0,8.34M,-0.68%
1325,"Nov 13, 2017",258.3,263.0,263.3,258.0,7.40M,-1.30%
1326,"Nov 10, 2017",261.7,260.55,265.2,259.4,16.79M,0.63%
1327,"Nov 09, 2017",260.05,266.4,266.5,259.3,20.25M,-2.02%
1328,"Nov 08, 2017",265.4,265.35,266.5,264.7,5.96M,0.04%
1329,"Nov 07, 2017",265.3,265.7,267.7,263.65,9.51M,0.15%
1330,"Nov 06, 2017",264.9,266.25,267.9,264.3,9.02M,-0.19%
1331,"Nov 03, 2017",265.4,267.0,267.9,264.9,5.98M,-0.09%
1332,"Nov 02, 2017",265.65,269.7,269.95,265.3,9.68M,-1.56%
1333,"Nov 01, 2017",269.85,267.0,271.2,266.3,7.24M,1.56%
1334,"Oct 31, 2017",265.7,266.05,266.95,263.9,8.14M,0.21%
1335,"Oct 30, 2017",265.15,269.0,270.6,263.45,17.59M,-1.56%
1336,"Oct 27, 2017 E",269.35,270.6,276.0,267.45,22.97M,0.35%
1337,"Oct 26, 2017",268.4,270.8,270.8,267.15,9.26M,-0.32%
1338,"Oct 25, 2017",269.25,268.4,271.5,268.2,5.94M,0.84%
1339,"Oct 24, 2017",267.0,268.45,268.45,266.1,8.40M,-0.02%
1340,"Oct 23, 2017",267.05,270.0,272.75,265.8,9.77M,-0.96%
1341,"Oct 19, 2017",269.65,271.0,271.3,269.0,1.24M,-0.26%
1342,"Oct 18, 2017",270.35,268.0,270.75,267.1,7.23M,1.16%
1343,"Oct 17, 2017",267.25,268.0,268.7,265.95,10.63M,-0.09%
1344,"Oct 16, 2017",267.5,266.0,269.95,265.5,9.15M,0.58%
1345,"Oct 13, 2017",265.95,266.25,267.6,264.2,12.04M,-0.39%
1346,"Oct 12, 2017",267.0,265.55,269.2,264.0,9.17M,0.60%
1347,"Oct 11, 2017",265.4,266.5,267.75,264.45,7.66M,-0.30%
1348,"Oct 10, 2017",266.2,267.1,267.9,265.15,5.47M,-0.67%
1349,"Oct 09, 2017",268.0,268.0,269.15,266.4,6.09M,0.70%
1350,"Oct 06, 2017",266.15,265.8,267.5,264.65,7.86M,0.34%
1351,"Oct 05, 2017",265.25,267.4,269.4,264.4,6.94M,-0.80%
1352,"Oct 04, 2017",267.4,264.1,268.5,263.15,10.78M,2.30%
1353,"Oct 03, 2017",261.4,262.5,262.75,258.5,11.50M,1.20%
1354,"Sep 29, 2017",258.3,262.8,262.9,257.45,12.17M,-1.24%
1355,"Sep 28, 2017",261.55,260.4,263.4,259.1,21.60M,1.18%
1356,"Sep 27, 2017",258.5,265.1,265.5,256.8,17.53M,-1.51%
1357,"Sep 26, 2017",262.45,263.3,263.75,261.05,9.58M,0.08%
1358,"Sep 25, 2017",262.25,268.5,269.65,260.9,17.58M,-2.31%
1359,"Sep 22, 2017",268.45,269.5,270.95,267.05,6.88M,-0.41%
1360,"Sep 21, 2017",269.55,272.0,272.4,267.1,7.76M,-0.74%
1361,"Sep 20, 2017",271.55,269.4,272.0,267.75,9.60M,1.38%
1362,"Sep 19, 2017",267.85,268.0,270.0,264.1,33.88M,0.32%
1363,"Sep 18, 2017",267.0,271.0,271.7,266.25,10.15M,-0.85%
1364,"Sep 15, 2017",269.3,272.0,272.75,268.2,13.15M,-0.99%
1365,"Sep 14, 2017",272.0,272.3,272.5,270.4,7.04M,0.18%
1366,"Sep 13, 2017",271.5,277.4,277.5,270.95,12.13M,-2.22%
1367,"Sep 12, 2017",277.65,275.5,278.25,274.6,11.46M,1.48%
