Date,Low,Volume,Price,Chg%,High,Open
2022-05-26,3513.5,545260,3560.95,0.0126,3577.85,3550.0
2022-05-27,3510.25,165720,3557.6,-0.0009,3583.35,3583.0
2022-05-30,3541.6,213500,3576.25,0.0052,3617.65,3561.4
2022-05-31,3555.25,562990,3647.8,0.02,3700.0,3576.6
2022-06-01,3533.0,241390,3551.3,-0.0265,3669.75,3649.1
2022-06-02,3505.75,213100,3577.05,0.0073,3583.8,3570.0
2022-06-03,3493.0,271460,3530.0,-0.0132,3597.1,3575.0
2022-06-06,3450.05,153890,3491.95,-0.0108,3535.0,3530.0
2022-06-07,3354.0,338020,3383.45,-0.0311,3478.9,3465.0
2022-06-08,3310.0,320100,3361.5,-0.0065,3402.6,3385.0
2022-06-09,3306.0,347350,3347.25,-0.0042,3382.05,3361.15
2022-06-10,3301.1,503820,3360.85,0.0040999999999999,3372.25,3316.0
2022-06-13,3310.95,463900,3359.0,-0.0006,3375.0,3339.0
2022-06-14,3330.05,224650,3382.85,0.0070999999999999,3393.0,3359.55
2022-06-15,3352.05,245700,3385.4,0.0008,3402.9,3388.0
2022-06-16,3372.05,481510,3390.4,0.0015,3431.9,3400.1
2022-06-17,3300.3,527370,3332.1,-0.0172,3390.4,3390.4
2022-06-20,3270.95,364700,3378.6,0.0139999999999999,3399.9,3300.0
2022-06-21,3375.05,223640,3429.3,0.015,3472.85,3378.6
2022-06-22,3386.2,170850,3403.65,-0.0075,3454.9,3412.0
2022-06-23,3390.5,351310,3411.45,0.0023,3447.85,3414.95
2022-06-24,3429.0,301130,3469.35,0.017,3504.95,3429.0
2022-06-27,3447.25,419730,3459.1,-0.003,3505.95,3502.0
2022-06-28,3388.05,182570,3434.7,-0.0070999999999999,3469.9,3455.0
2022-06-29,3360.0,374480,3404.15,-0.0089,3455.6,3434.7
2022-06-30,3380.0,479310,3466.4,0.0183,3483.15,3380.0
2022-07-01,3412.0,292490,3584.35,0.034,3600.0,3412.0
2022-07-04,3575.0,614360,3700.45,0.0324,3713.45,3575.0
2022-07-05,3636.0,612520,3656.6,-0.0118,3714.0,3709.0
2022-07-06,3642.25,1040000,3830.8,0.0475999999999999,3840.9,3650.15
2022-07-07,3799.85,519620,3810.25,-0.0054,3882.1,3828.0
2022-07-08,3792.5,379510,3816.95,0.0018,3850.95,3830.0
2022-07-11,3780.0,208600,3795.4,-0.0056,3840.4,3829.2
2022-07-12,3716.15,283590,3725.5,-0.0184,3787.85,3783.0
2022-07-13,3712.1,164380,3726.0,0.0001,3762.1,3731.05
2022-07-14,3713.05,265730,3774.15,0.0129,3789.0,3726.0
2022-07-15,3779.1,660790,3848.9,0.0197999999999999,3862.8,3785.0
2022-07-18,3759.0,455400,3774.95,-0.0192,3880.0,3860.0
2022-07-19,3742.3,228970,3787.45,0.0033,3797.1,3774.95
2022-07-20,3793.85,440500,3828.3,0.0108,3849.0,3805.0
2022-07-21,3821.0,282100,3855.5,0.0070999999999999,3865.75,3844.0
2022-07-22,3843.65,433420,3871.45,0.0040999999999999,3929.0,3860.0
2022-07-25,3850.0,290160,3885.9,0.0037,3915.0,3871.45
2022-07-26,3795.5,267530,3807.15,-0.0203,3900.0,3900.0
2022-07-27,3781.15,200260,3854.55,0.0125,3863.9,3800.0
2022-07-28,3836.4,316010,3869.35,0.0038,3882.0,3863.5
2022-07-29,3876.9,418970,3900.4,0.008,3949.35,3883.0
2022-08-01,3838.2,323130,3855.65,-0.0115,3916.0,3900.4
2022-08-02,3758.1,355860,3788.15,-0.0175,3909.0,3875.0
2022-08-03,3726.05,428090,3770.0,-0.0048,3793.35,3780.0
2022-08-04,3726.0,506670,3775.05,0.0013,3792.0,3762.75
2022-08-05,3678.85,798850,3688.1,-0.023,3835.9,3745.0
